datetime,site_id,site_name,lat,lon
2018-05-10 19:56:51,2014,AQMD_NASA_18,34.138439,-118.13797
2018-05-10 19:57:21,2015,AQMD_NASA_18 B,34.138439,-118.13797
2018-05-10 19:57:48,2430,AQMD_NASA_19,33.7792,-118.0441
2018-05-10 19:56:58,2431,AQMD_NASA_19 B,33.7792,-118.0441
2018-05-10 19:57:01,1852,AQMD_NASA_2,34.021534,-117.90991
2018-05-10 19:57:31,1853,AQMD_NASA_2 B,34.021534,-117.90991
2018-05-10 19:57:20,2756,AQMD_NASA_20,33.768719,-118.17295
2018-05-10 19:57:50,2757,AQMD_NASA_20 B,33.768719,-118.17295
2018-05-10 19:56:58,359,AQMD_NASA_21,42.276126,-71.013974
2018-05-10 19:57:28,360,AQMD_NASA_21 B,42.276126,-71.013974
2018-05-10 19:57:14,2701,AQMD_NASA_23,34.07508,-118.56294
2018-05-10 19:57:44,2702,AQMD_NASA_23 B,34.07508,-118.56294
2018-05-10 19:57:29,2751,AQMD_NASA_24,34.06282,-118.448915
2018-05-10 19:57:59,2752,AQMD_NASA_24 B,34.06282,-118.448915
2018-05-10 19:57:12,1848,AQMD_NASA_25,34.141759,-118.060746
2018-05-10 19:57:42,1849,AQMD_NASA_25 B,34.141759,-118.060746
2018-05-10 19:57:00,2516,AQMD_NASA_26,34.161382,-118.063419
2018-05-10 19:57:30,2517,AQMD_NASA_26 B,34.161382,-118.063419
2018-05-10 19:56:44,6772,AQMD_NASA_27,34.19604,-118.145351
2018-05-10 19:57:14,6773,AQMD_NASA_27 B,34.19604,-118.145351
2018-05-10 19:57:49,2710,AQMD_NASA_28,34.180399,-118.894627
2018-05-10 19:56:59,2711,AQMD_NASA_28 B,34.180399,-118.894627
2018-05-10 19:56:48,2362,AQMD_NASA_29,34.076629,-118.222371
2018-05-10 19:57:18,2363,AQMD_NASA_29 B,34.076629,-118.222371
2018-05-10 19:57:58,6454,AQMD_NASA_3,34.129322,-118.202468
2018-05-10 19:57:09,6455,AQMD_NASA_3 B,34.129322,-118.202468
2018-05-10 19:57:24,6842,AQMD_NASA_30,34.251637,-118.274633
2018-05-10 19:57:54,6843,AQMD_NASA_30 B,34.251637,-118.274633
2018-05-10 19:57:37,6286,AQMD_NASA_31,34.160216,-118.10291
2018-05-10 19:56:47,6287,AQMD_NASA_31 B,34.160216,-118.10291
2018-05-10 19:57:28,6472,AQMD_NASA_34,34.111188,-118.21065
2018-05-10 19:57:58,6473,AQMD_NASA_34 B,34.111188,-118.21065
2018-05-10 19:58:00,6420,AQMD_NASA_35,34.262747,-118.319233
2018-05-10 19:57:10,6421,AQMD_NASA_35 B,34.262747,-118.319233
2018-05-10 19:57:58,2440,AQMD_NASA_36,34.390163,-118.600773
2018-05-10 19:57:10,2441,AQMD_NASA_36 B,34.390163,-118.600773
2018-05-10 19:57:25,6456,AQMD_NASA_37,34.450859,-118.519632
2018-05-10 19:57:55,6457,AQMD_NASA_37 B,34.450859,-118.519632
2018-05-10 19:56:45,2749,AQMD_NASA_38,34.174784,-118.126993
2018-05-10 19:57:15,2750,AQMD_NASA_38 B,34.174784,-118.126993
2018-05-10 19:57:45,2723,AQMD_NASA_39,33.557683,-117.809382
2018-05-10 19:56:55,2724,AQMD_NASA_39 B,33.557683,-117.809382
2018-05-10 19:57:11,6908,AQMD_NASA_40,34.123252,-118.175737
2018-05-10 19:57:40,6909,AQMD_NASA_40 B,34.123252,-118.175737
2018-05-10 19:57:05,6264,AQMD_NASA_43,34.141192,-118.1035
2018-05-10 19:57:35,6265,AQMD_NASA_43 B,34.141192,-118.1035
2018-05-10 19:56:52,6448,AQMD_NASA_44,34.093006,-117.888472
2018-05-10 19:57:22,6449,AQMD_NASA_44 B,34.093006,-117.888472
2018-05-10 19:57:24,2464,AQMD_NASA_45,33.97171,-118.220708
2018-05-10 19:57:54,2465,AQMD_NASA_45 B,33.97171,-118.220708
2018-05-10 19:56:44,6910,AQMD_NASA_47,34.261682,-117.206235
2018-05-10 19:57:14,6911,AQMD_NASA_47 B,34.261682,-117.206235
